org_id,req
USCG,"1. Data showing the total number of accidents at all U.S. ports combined by year for the years 2000, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014 and 2015. 2. Data showing the number of accidents at each U.S. port by individual port for the years 2000, 2005, 2010 and 2014."
USCG,1. The Legislative Change Proposal (LCP) referenced by Admiral Papp in the Coast Guard Active Duty Enlisted Career Retention Panel Authorization Request of 2012. A copy of the Memo can be found at: http://www.uscg.mil/e pm/epm1/CRSP/2012/2012-Secreta ry- Approval.pdf 2. All formal correspondence to and from the Department of Homeland Security resulting from the submission of that LCP. 3. A Copy of the Coast Guard Active Duty Enlisted Retention Panel Authorization Request for FY 2011. The Official Coast Guard Website has attached the FY12 Memo to the FY11 link so copies of the FY11 Memo cannot be attained. The website address is: http://www.uscg.mil/psc/ep m/epm1/CRSP/2011/Signed%20Acti on%20Memo%202011.pdf
USCG,"1875 South Winton Road and Undeveloped Parcels on Westfall Road, Brighton, New York"
USCG,"6/2/15 sinking of the Mississippi Delta Queen
Barge, Hull #1066"
USCG,"a “Memorandum of Agreement” (MOA) between U S Coast Guard and the State of Louisiana regarding both federal and state recreational
boating safety."
USCG,"a complete copy of the Coast Guard’s file and/or report regarding the boating accident that involved a 2004 Regal Commodore 3560 vessel that exploded on May 26, 2014 at Liberty Landing Marina located at 80 Audrey Zapp Drive, Liberty State Park, Jersey City, NJ 07305 and caused property damage to vessel as well as personal injury."
USCG,"a complete copy of the contract, including the schedule of items as awarded, based on the following information: Contract Award Date: September 17, 2012 Contract Award Number: HSCG23-12-D-QW6650 C ontract Award Dollar Amount: $5,805,484.34 Contra ct Line Item Number: N/A Contractor Awarded Name: Incident Management Training Consortium LLC (IMTC) Contractor Awarded DUNS: 145792243"
USCG,"A copy of all monthly reports and copies of all ""Performance Benchmark"" scores for Performance Metric 35, ""Epic Deployment"" listed on page 35 of the 2011-2015 United States Coast Guard Office of Health Services Strategic Plan, https://www.uscg.mil/hr/cg11/s trategicplan2011_2015.pdf"
USCG,a copy of all ownership information/documents of the Vessel EL FARO from the past 10 years.
USCG,"a copy of the available USCG VTS/ECDIS and VHF radio recordings concerning the above matter. We understand that a prior request was made for 1620 hrs. – 1750 hrs. for April 22, 2015 and we therefore, request a copy of this AIS recording.
For your information, PACIFIC ONYX was docked at the IMTT facility (Mile 118) and was caused to surge by the passing vessel ZHENG HENG"
USCG,"a copy of the Coast Guard's Official Report, together with any additional information that can be provided, in connection with Case Number 15- 246020. The location of the event was the Gulf of Mexico; GPS Coordinate N268 33.141 // W082 43.42."
USCG,"a copy of the complete, final report, including findings and recommendations, from the ""FY 2013 United States Coast Guard Recreational Boating Safety Grants Management Process Narrative,"" an external assessment of administration of the Recreational Boating Safety Program funded by Sport Fish Restoration and Boating Trust Fund, conducted by Deloitte & Touche, LLP."
USCG,"a copy of the contract award for Contract HSCG8412CAA5371, awarded by DHS/Coast Guard for Multi-Disciplinary Healthcare Services."
USCG,"a copy of the contract award for Contract HSCG8412CAA5413, awarded by DHS/Coast Guard for Multi-Disciplinary Healthcare Services."
USCG,"a copy of the following documents identified to DHS / Coast Guard, HSCG7910APTD039"
USCG,a copy of the following documents identified to HSCG2312RPMD151: 1. Winning technical proposal for Value Options (awardee)
USCG,"a copy of the following NRC reports: 1132049 1132165 1132117 1133139 1133137 1133139
1133137 1134066 1133805"
USCG,"a copy of the report related to the allision of the US flagged tug boat Pro Assist III with Beacon Number 6 in the Yabucoa Harbor, Yabucoa Puerto Rico (USCG Sector San Juan). This incident occurred on October 15, 2015."
USCG,"a copy of the U. S. Coast Guard’s Navigation and Vessel Inspection Circular NVIC 5-80 dated March 13, 1980 and titled, “Recommended Procedures for Control of Asbestos Hazard on Board Merchant Vessels, Outer Continental Shelf (OCS) Facilities and Deepwater Ports.”"
USCG,"a copy of the US Coast Guard Purchase Order issued on or about September 2, 2015, HSCG2315PPMD056 in the amount of $44,376.00 NACIS code 611710, listed as Education Support
Services"
USCG,"a copy of the VTS AIS data and VHF voice recordings for the 10 minutes prior and subsequent to the grounding of the M.V DN VATAN which was grounded in Mississippi River – Baton Rouge - MM 2302 AHP on September 29,
2015"
USCG,a list of all known spills to the Arthur Kill
USCG,"A listing of all vessels currently registered through the NVDC for F Miller Construction Inc. Tax ID 20-
5538311"
USCG,a quote for 1 year (the most recent year available) of AIS data pertaining to the Hudson River for the GIS shapefile attached.
USCG,"access to all records, including contracts, subcontracts, and correspondence, pertaining to the involvement of the Coastal Environmental Services in the cleanup of the BP oil spill."
USCG,"access to and copies of all correspondence held by the US Coast Guard and received from US Congressman Rob Bishop or his Congressional Office (UT-01) since January 3, 2003 regarding any of the following companies."
USCG,"access to and copies of an incident report or documents generated in connection with a boat sinking between Mare Island and Vallejo, CA in the Napa River on 05/29/2015. The boat was owned by the Lind Brothers and was being operated by our client Francis King."
USCG,"access to and copies of any records and/or documents concerning any and all of the following Coast Guard ships and/or vessels: USCGC Humboldt (WAPV-372 / WHEC-372), USCGC Blackhaw (WLB-390 / WAGL-390), USCGC Planetree (WLB-307 / WAGL-307), USCGC
Sherman (WHEC-720), and USCGC Point Turner (WPB 82365)."
USCG,"access to FOIA file 20141083, which pertains to oil spills in 2010 (see enclosure). The scope of this request is limited to the correspondence between the agency and the requester, Scott Smith, including any records that were released."
USCG,"Accident involving MARIAH on June 13, 2015 at Nixon Sandar in Biscayne Bay, FL; MISLE Activity
No. 5183875"
USCG,"Activity Number 4341733 in regards to the vessel
named SARAH DANN"
USCG,"Activity Number 4582519 involving the Vessel
SARAH DANN"
USCG,"Activity Number 5155263 in regards to Vessel
Name: SARAH DANN"
USCG,"AIS and radio recording, investigations, and COTP Orders concering CPO KOREA and THEODOSIA on
October 16, 2015"
USCG,"AIS for M/V LINDBERG CROSBY 9/29/15 from
1945 hrs - 2015 hrs."
USCG,"AIS Replay and VHF communications concerning DIXIE VENGEANCE and NATIVITY on October 19,
2015"
USCG,"AIS Tracking/ VHF Radio Communications VESSEL: M/V Gary Reed- M/V Elizabeth Robinson LOCATION: ICWW mile marker 16.0 VHF RADIO:
If any stations are recorded in this area DOI: October 18, 2015; 0530 hours until 0730 hours Our File #: 15KIM18717"
USCG,"AIS/ECDIS/VHF recordings regarding the M/V AAL KOBE allision with the Alabo Street Wharf on September 22, 2015, at Mile 92, LMR."
USCG,"All 2692 and 835 forms filed by EL FARO from
January 1, 2010 to October 6, 2015"
USCG,"All archived 2010 PST and email files received from 2010 to the present. Also, all emails sent in 2010 for another individual"
USCG,"all Coast Guard 2692 reports of marine casualty forms for the F/V RENNEL SOUND, which collided with the F/V LUXOR on August 5, 2015 off the coast of Washington in the general vicinity of Neah Bay."
USCG,"all contract award documents associated with Solicitation Number: HSCG23-12-R-QW6650 from
FY12."
USCG,"All contracts and records concerning Covert Canyon from January 1, 2006 to the present concerning firearms training and live tissue
medical training."
USCG,"All dates and locations of cleanup activity as a
result of the BP Oil spill."
USCG,"all documentation on two incidents that occured at Christies Cabaret in late September 2015 involving the vessels GREAT REPUBLIC and
MANISTEE"
USCG,all documents and correspondence relating to and including the Hudson River/Rhinecliff Anchorage Letter sent to the Coast Guard this year
USCG,"All documents concerning the investigation of EL
FARO"
USCG,"All Documents or Lists for December 2014 through 2015 YTD (January 1, 2015 – December 15, or later, 2015) , showing all non-local TDY government or military travelers coming to classes or training in or around US Coast Guard, 1001 S. Seaside Ave. San Pedro, CA 90731-7391 area, ordered or handled by or coming through San Pedro base, providing : (1) Dates, name and/or type of training or classes, (2) Originating Base/Office location (coming from) of traveller, including unit/base/group name, city and state, unit/base phone, POC name and email."
USCG,"all documents regarding incident on 8/20/14 of scuba death of Mr. Raroha off the coast of Ft.
Lauderdale, FL"
USCG,"all email and instant message communications exchanged between Darran J. McLenon, Captain,
U.S. Coast Guard, and John A. King, Chief Machinery Technician, U.S. Coast Guard, between the dates of 01 JAN 2014 through and including 01 OCT 2015."
USCG,all emails and IMs that came into and went out of
USCG,"All emails pertaining to requester concerning their
re-enlistment"
USCG,"all incidents resulting in injury or death fropm
2010 to present"
USCG,"All information available under FOIA for
information contained in MISLE #1003830"
USCG,"All information in regards to a boating incident involving the SIRENA and the BOSTON WHALER that occured on the morning of September 6, 2015 off Catalina Island, near Avalon."
USCG,"all information pertaining to the USCG investigation of the fatal boat collision that occurred on June 28, 2015, on the Kent Narrows
near Kent Island, Maryland."
USCG,all information regarding an incident at Waqoit bay on 11/1/15. A boat ran over the jetty and sank. They issued a Mayday before the boat went down- prompting the response from the station.
USCG,"all information regarding Robert Carney’s Case #
CSE-2015-01-000004"
USCG,all information related to 1/23/15 allision involving M/V CONNOR BORDELON and platform designated as the South Timbalier 27 1A Platform
USCG,"all inspection and investigation activities from May 13, 2014 until May 26, 2015 for the small Passenger Vessel VICTORY II (O. N. 634676)."
USCG,All inspection freports for MSC FLAMINIA
USCG,"all inspection reports for the EL FARO from 2005-
2015."
USCG,"All inspection, casualty, incident, failure of propulsion, and any other reports concerning EL
FARO"
USCG,All interview notes and scores from all three panel members related to the selection of the candidate for vacancy announcement 15-1310-HQ-GS-M
USCG,"all MISLE activities concerning the El Faro (VIN: 561732) and the El Yunque (VIN: 5732233) from
2000-2015."
USCG,"All radio, audio, and digital communications b/n the USCG and EL FARO b/n September 29, 2015 through October 2, 2015"
USCG,"All records and communication relating to the
Application for Consent to Conduct Marine Scientific Research"
USCG,"All records and findings regarding the September 26, 2013 allision by the vessel USNS Henry Martin with the Matthews Street Bridge in Jacksonville,
Florida."
USCG,"all records from a june 6, 2015 harrasment
complaint filed"
USCG,"all records from the Coast Guard's MISLE
database, related to CG Station Neah Bay, WA, from the dates 9/5/07-9/12/07."
USCG,"all records on a incident that occured on March 6, 2015 onboard the M/V ADVANTAGE"
USCG,"all records on file concerning Civil Hearing case, Activity No. 2220407, involving Glen Milner."
USCG,"All records on the rescue for the 48 foot sailing vessel Aurora that had ran aground on the rocks just off Coral Bay in Saint John, U.S. Virgin Islands at approximately 1315 on November 14,
2014."
USCG,"All records pertaining to incident on September 4, 2015 involving vessel PAPAGALLO II and Mr.
Brekke"
USCG,"all records regarding incident on 7/30/14 involving joeseph grosso (deceased) and the
vessel M/V SCUBATYME III"
USCG,"All releasable documents and records, including or relating to to any permit or authorization for construction, modification, replacement or alternation of the structure known as Norfolk Southern Bridge 7 on the Southern Branch of the Elizabeth River, or any fendering system or other incident of the said Bridge 7, issued by the U.S. Coast Guard, Army Corps of Engineers, or other government entity from January 1, 1913 to present."
USCG,all reports and citations regarding an incident involing                  that occured on 10/16/2015 in the Houma Navigational Canal in Louisiana.
USCG,all reports involving vessel collisions and/or allisions with stationary objects occurring at or around the Hillsboro Inlet within the past five years AND list of all vessel allisions with stationary objects at or around the hjillsboro inlet within the past five years
USCG,"All safety records on EL FARO and Tote Maritime
Puerto Rico"
USCG,"all USCG boating incidents reports and boating accident fatalities (including possible fatalities) that involved minors (18 and under) in the FL Atlantic waters from the dates of July 1, 2015 to October 1, 2015."
USCG,"All USCG security plans and security requirement for the Young Brothers, Limited marine terminal at Pier 39-40 Honolulu, Hi which were in effect on December 9, 2013 to present"
USCG,"any and all communications, including, but not limited to, call logs, audio tapes, documents, and reports, between the United States Coast Guard and the C/S ELATION on February 17, 2012 and February 18, 2012."
USCG,"Any and all data reports, records, investigations, pltotograplts, imaging, surveillance or otlter type of document/data in your file regarding tlte incident tltat occurred 011 October 8, 2015, at tlte Williams Gas Plant located at 4711 Bayou Black Road, Gibson, LA."
USCG,"Any and all documents and records from September 22, 2014 to present, whether handwritten or in electronic format, concerning inspection of the barge TMS 200 at Chicago's Navy Pier, including but not limited to: reports of
U.S. Coast Guard inspections; witness  statements; citations issued; photographs, videos, motion pictures, sketches or diagrams including but not limited to those depicting the barge, persons involved, or the location where the barge was docked."
USCG,any and all documents containing information regarding accidents/injuries reported in connection with the use of (all brands of) personal watercrafts (PWC) from 2005 to the present.
USCG,"any and all documents including, but not limited to inspections records, permits and, reports, and equipment lists containing information for any distillers at the below locations, including years installed and removed. Specifically, I am trying to track down any/all distillers at the locations including the names of the manufacturers and the years the distillers were installed and removed.
Locations: 1. Penrod 65. Now known as PARAGON M841. Formerly known as NOBLE BILL JENNINGS. Class Number: 7510804. IMO Number: 8753598.
Official Registry Number: 12644. 2. Penrod 81. Now known as ENSCO 81. Class Number: 7902598. IMO Number: 8753744. Official Registry Number: 13630. 3. Sedco 135-D. Now known as PETROBRAS 65. Class Number: 6607537. IMO Number: 8755039. Official
Registry Number: 3593. 4. Sedco 601. Class
Number: 8302119. IMO Number: 8755089."
USCG,"Any and All Documents or Lists for 2015 YTD (January 1, 2015 – September 30, 2015) , for any and all TDY government or military travelers coming to classes or training in or around San Pedro/Long Beach, CA, area, ordered or handled by or coming through San Pedro base"
USCG,"Any and all fines and/or actions by the United States Coast Guard in regards to the following individual and/or company:                     48
Circle Street, Rumford, RI 02916 MG Marine, Inc., 48 Circle Street, Rumford, RI 02916"
USCG,"any and all Float Plans which where filed by Peter Rodrigues in connection with the vessel SEA WITCH, DO 1245104 located in Duval County, Florida or any other Vessel under Peter during the time frame of January 1, 2005 to Present day"
USCG,"any and all information as it pertains to any request for information, solicitation, request for quote, request for proposal, contract, contract award, contract vehicle, contract award price, successful offeror, et cetera for the U.S. Coast Guard’s Boat Crew Communication System for SPC Air Boats."
USCG,"any and all inspections done on the F/V GORDON
JENSEN for the time period of January 1, 2007 until present ."
USCG,"Any and all personnel and/or employment records, including but not limited to, application for employment, insurance records, workers' compensation records, medical records, personnel files, performance reviews, reprimands, records of disciplina ry actions, and any other records contained in                    file"
USCG,"any and all recordings of radio traffic transmissions, recordings of phone conversations, documents, records, reports, correspondence, notes, faxes, voicemails, emails, or other information, related to the October 29, 2015, early morning boating-fishnet collision involving
U.S. Coast Guard vessel WN-1936NV, piloted by
U.S. Coast Guard employee ""Lindsey,"" or ""Lindsay,"" and my vessel, Crow II, WN-447MST, near Harbor Island, Elliot Bay, Puget Sound, Washington State."
USCG,"any and all records and documents in your possession relating to the Coast Guard Sector Jacksonville's Investigation of the allision between the USNS 1st LT Harry L. Martin and the John Mathews Bridge in Duval County, Florida, which occurred on 26 September 2013. This request includes all records and documents which were reviewed by the Coast Guard as part of the Investigation."
USCG,"Any and all records regarding, concerning or relating to ""Earth-based"" worship service events occurring at the USCGA campus in the 2013/14 and 2014/15 academic years, including but not limited to, programs, hand-outs, proposals, agreements, contracts, invoices, budget documents, and related materials."
USCG,"Any Cargo Ship Safety Equipment and Construction certificates, violation notices, and
ship plans, designs, or modifications"
USCG,"any Coast Guard Report or Record of investigation regarding the death of Mr. Johnnie Young Sr. (Under the Freedom Of Information Act). The incident took place aboard the U.S. Flagged Steamship Buyer (Official Number 288076) between July 17 or 18, 1981 near or off the coast of Portland, Maine."
USCG,"Any documents concerning the Fishing Vessel
PACIFIC BREEZE"
USCG,"Any documents regarding contracts with Peterson Maritime Services, Inc., Including, specifically, any documents such as certificates of Insurance containing the information the USCG may have regarding Peterson Maritime's insurance coverages from the period 1976 through 1986."
USCG,"any documents related to the ownership of the Miss Caroline which is currently abandoned in Shem Creek, Mt. Pleasant, SC."
USCG,"any environmental infractions, fines, penalties, and resolutions associated with the Vessel Bunkering, Vessel Sanitary Waste Water Removal Service, Vessel Oily Waste Removal, and Stevedore franchises listed below. Included below are the company names, addresses, the currently held franchise(s) and the requested period of time for the record review: Request period of time is the past 2 years. • B.V. Oil Company, Inc. - Vessel Bunkering o 7950 N.W 58th Street -  Miami, FL 33166 • Clean Pro Enviro Solutions, LLC
– Vessel, Oily Waste Removal, Vessel Sanitary Waste, and Water Removal o 3675 NW 58th Street - Miami FL 33142 • Continental Florida Materials, Inc. – Stevedore, Cargo Handler o 2600 Eisenhower Boulevard, Port Everglades - Fort Lauderdale, FL 33316 • Crowley Liner Services, Inc. - Stevedore, Cargo Handler o 4300 McIntosh Road, - Fort Lauderdale, FL 33316 • Florida Stevedoring, Inc. - Stevedore, Cargo Handler o 2541 SW 27th Avenue - Miami FL, 33133 • Host Terminals, Inc. – Stevedore o 1800 Southeast 10th Ave, Ste 435 - Fort Lauderdale, FL 33316 • Portus-PEV LLC – Stevedore o 3505 SE 19th Ave - Fort Lauderdale, FL 33316 • TransMontaigne Product Services, LLC - Vessel Bunkering o 1670
Broadway, Suite 3100 - Denver, CO 80202"
USCG,"Any information concerning spills at the following property 4-Story Commercial Residential Condominium Building 2010 S. Wabash Avenue
Chicago, illinois 60616"
USCG,"any investigative reports for injury sustained on July 3, 2015 in Surfside Beach, South Carolina. The vessel name was F/V VOYAGER"
USCG,"Any MISLE data information on the EAGLE 1
Offfcial number 506597"
USCG,"any radio transmissions between M/V Hunter D and VTS on December 5, 2015 between 10:00 and 12:00. The M/V Hunter D was East of Patos
Island, WA."
USCG,"any records relating to public figure Evan Kohlmann’s contracts, lectures, discussions, reports, emails, memos, personal notes, and/or receipts with the U.S. Coast Guard."
USCG,"any response reports regarding an incident on May 24th approximately between 11:30 p.m. and 1:00 a.m. the morning of May 25, 2015 at Matheson Hammock Marina, 9610 Cutler Road ."
USCG,"Any stale checks, undeliverable check, or other property owed to but unclaimed by ACS Lending, Inc. or Xerox Business Services"
USCG,"Any VHF transmissions, telephone or written documentation for the following, Date: September 20, 2015 Time: 1945 PDT to 2350 PDT Vessel
Type; 1982 Ericson Length: 30' POB: 0 Owner:"
USCG,AOPS report for my logged small boat hours and operations from sept 2010- July 2013
USCG,architectural drawings for the CGC CHINOOK
USCG,"Audio or video concerning an incident involving AURIGA on August 5, 2014 in Eaglek Bay near
Valdez, AK"
USCG,"audio recording of VHF channel 16 from USCG Sector Miami or station Miami Beach, for the time span of 1900-2030 on November 5th 2015."
USCG,"Audio recording or transcript concering the distress call VHF Channel 16 relating to TIME OUT on May 17, 2015 in Gardner's Bay, Long Island,
NY"
USCG,"audio recordings monitored by US Coast Guard sector Miami on VHF channel 16, 156.800 MHz, from 1205hrs. to 1235hrs. on December 12, 2015 concerning a vessel ""Darlyn Marlin"" taking on water outside of Hillsboro Inlet Florida at approximate coordinates N26'14 and W080'04."
USCG,"audio recordings of the following NRC report phone calls: 1028697, 1029104, 1028704,
1028719, 1028768, 1028984"
USCG,"August 23, 2015 discharge into the River Rouge from Carmeuse Lime & Stone porperty at 25 Marion Avenue River Rouge, MI"
USCG,Barview County Park in Tillamook County Time: Approximately 4:20 p.m.
USCG,"Boating accident on March 30, 2013 in Santa Rosa
Sound"
USCG,"Camera footage for Monday October 19, 2015 from 02:00-07:00 in regards to the M/V ANNIE
MOON Investigation"
USCG,"Camera recordings of Pelican Cut Mooring on October 17, 2015 from 0615 to 0645 concerning
TOMMY and SMI 30024"
USCG,Can you please send me the following NRC reports? 1129081 1129360 1129421 1129985
USCG,"Certificate of Adequacy (COA) for the Chevron El
Segundo Refinery"
USCG,CG records for CWO3 Don E. Jacobs (Deceased)
USCG,"CG Report of a fatal boast accident that occurred at the Francis Scott Key Bridge on July 26, 2015"
USCG,"Class certificate issued on August 17, 2015 and narrative report - statement of fact for EL FARO
issued January 29, 2011"
USCG,"Collision inovlving two vessels on July 19, 2014
on the Kenai river in Kenai, AK"
USCG,"Collision involving LUXOR and RENNELL SOUND on August 5, 2015 in Neah Bay, WA"
USCG,"collision involving OCEAN FREEDOM on October 29, 2015; MISLE Activity no 5754595"
USCG,"Collision involving SARAH DANN on June 6, 2015
near Morehead City, NC"
USCG,"construction prints for vessel with hull number
44358"
USCG,"copies of all contracts, subcontracts, and related correspondence pertaining to the involvement of Coastal Construction Group in the cleanup of any oil spill in 2010."
USCG,"copies of all emails, duty logs (indicating dates/times/names of inspections by USCG personnel), notes, reports, photographs, video, or other recordings, diagrams, etc related to the inspection (and subsequent determinations) regarding the vessel OCEAN WIND."
USCG,"copies of all heavy weather mooring plans for the
years 2014 and 2015"
USCG,"copies of all public records (as defined by the Act) within the custody of the United States Coast Guard (“USCG”) relating to PUMAS’ contract services for the Ocean Wind - Escambia County Artificial Reef Project, (the “Reef Project.”)."
USCG,"Copies of any agreements, including Security Agreements, entered into by your agency with Charles M. Byers and/or Accuracy Systems, Inc."
USCG,"Copies of any and all contracts with any of the following people, businesses, and locations: Marc Halcon or Covert Canyon, LLC or 19150 High Glen Road, Alpine, California"
USCG,"copies of any and all information possessed by CG Sector Seattle (or Sector Puget Sound or VTS Seattle or MSO Seattle, or Group Seattle) concerning the transit of the vessel AKINADA BRIDGE on Saturday, November 21, 2015 in the vicinity of Bush Point (Whidbey Island) at or about 1130 – 1230 hours (local). In particular, please provide the following information, without limitation: • radar images • radio logs re communications with vessel • information regarding the vessel’s speed and distance from Bush Point"
USCG,"copies of any and all records of investigations, including photographs, supporting data, witness statements and findings (i.e., all documents) relating to any incidents involving the vessel Kirby 27711"
USCG,copies of any records in your office's control custody that refer or relate to the determination of whether or not Willow Lake is a navigable water as defined in the applicable regulation.
USCG,"copies of any USCG form 2692 reports, along with any corresponding MISLE files, which have been filed relating to LLNR 3510 from August 1, 2015
to October 31, 2015."
USCG,"copies of documentation and procedures for the rescuing, processing and handling of migrants and refugees that the Coast Guard has and routinely uses, including specifically the Coast Guard AMIO procedures contained in Chapters 11 through 15 of the Maritime Counter Drug and Alien Migrant Interdictions Operations manual (COMDTINT M16247.4)."
USCG,copies of the Coast Guard documentation/reports from your Activity numbers 5090745 (Incident Management) and 5088714 (Port State Control).
USCG,copies of the general construction stipulation enclosures sent out with D1 dpb construction approval letters. Copies of the stipulation enclosure for each Sector in D1 is requested.
USCG,"copy of a Coast Guard Report for a loss that occurred on Sept. 7, 2013 at approximately 10:14 pm EST located at the Casco Bay Portland Slip in Portland, ME."
USCG,"copy of any and all investigative reports relative to the multiple loss of life involving the
NC8662DZ, NC on or around 4/21/15"
USCG,"copy of any and all records regarding the M/V Charlie Boy sinking at approximately Mile 172 of the Upper Mississippi River on July 19, 2015"
USCG,Copy of any LORAN Radiation Exposure reports subsequent to the one released in July 2011
USCG,Copy of CG report of the sinking of the Vessel SEQUESTER that occured in Lake Champlain between vermont and New York. The incident occured on 11 August 1966
USCG,"copy of coast guard investigation case number
5037860"
USCG,copy of Incident Investigation Activity # 4774370
USCG,"copy of incident report relating to vessel WIDE OPEN on or about 10/10 or 10/11 2015, approx. 40 miles offshore of Southport, near frying pan
shoals"
USCG,"Copy of MISLE Activities 4826391, 4258318, and
3197507"
USCG,"Copy of MISLE Case No. 57357, Activity No.
996189"
USCG,"Copy of report concerning death of Craig Biggs on
June 20, 2014"
USCG,"Copy of report for incident that occured on
September 30, 2015 at Christie's Cabaret"
USCG,"Copy of report in regards to an incident that occured aboard the STAR STREAM 8 vessel coming from Freeport, NY on May 29, 2011"
USCG,"copy of report of incident that occured on
September 5, 2015 on Fort Gibson Lake"
USCG,Copy of response provided for FOIA 2013-3338 for an incident involving PPG 0234 o/a 08 July 2013 near K&A Terminal UMR MM450.9
USCG,Copy of Suspicious Activity Report 1133510
USCG,"copy of the appraisal dated July 1, 2015  (including all reviews and amendments) on the property, which the City and the Authority allowed to be assigned from DRS Technologies, Inc. to the US Coast Guard on or about August 19, 2015."
USCG,"copy of the Coast Guard's entire investigation file, including but not limited to, reports, statements, narratives, incident forms, incident reports, USCG 2692s, notes, any recorded radio communications, AIS tracking system videotapes/DVDs/recordings/sti lls/radio transmissions, and any other vessel tracking information, radar, and radio recordings which in any way pertain to the incident involving the MN DISCOVERY and FN SAVOIR FAIRE on October 16, 2015"
USCG,"Copy of the database data that underlies PSIX
from as of October 15, 2015"
USCG,Copy of the following information 1.) Solicitation #HSCG23-15-R-PC5052 2.) General Dynamics One Source LLC's proposal in response to Solicitation #HSCG23-15-$-PC5052 3.) Contract Award #HSCG2315JPC5052
USCG,"copy of the following information in regard to USCG vessel document number 908081,aka Osprey I vessel, aka The Mark Twain vessel, Melinda McNeill,MELANDELL LLC, William (Billy) Detyens, The Nest {Osprey Nest), Marker 79 Marina located at 216 Pine Bluff Street, Vance, SC. I am requesting the documents from December 2013 to present. 1. Any inspection reports. 2. Any correspondence . 3. The current status of the Certificate of Inspection (inspected or uninspected) . 4. How many passengers are allowed on the vessel under the Passenger Vessel Safety Act at this current time? 5. Determination if the vessel can be used for commercial use. 6. Status as to a Permanently Moored or Temporarily Moored Craft."
USCG,copy of the navigation evaluation conducted in support of the Section 9 Bridge permit for the Mill Basin Bridge on the Belt Parkway in Brooklyn.
USCG,"Copy of the Stipulation of Fact and Court Martial
Order for Daniel Eyer"
USCG,"copy of the Vessel Traffic Service Marine Radio, the Automated Information System (""AIS"") and Radar Display recordings pertaining to the Vessel OVERSEAS CASCADE on 8 November 2015 for the time period of 1830 through 2000 hours (Local Time)."
USCG,Correspondence from Congressman Todd Young (IN-I) or his staff from January 2011 to present
USCG,"Correspondence from EL FARO including an email b/n the captain and Tote Maritime that he was aware of an incoming storm, had a plan, and briefed the crew. Also requesting all correspondece from EL FARO since its last route
to the present"
USCG,"Correspondence logs pertaining to Senator Marco Rubio or his staff from January 2011 through the present, Dec. 10, 2015. Any emails to or from Senator Marco Rubio including email attachments."
